"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"155","TOLLIP","HBSS_pooled_PRM3",0.927973110730703,"HBSS",FALSE,NA
"156","TOLLIP","HBSS_pooled_PRM2",0.893843045989509,"HBSS",FALSE,NA
"157","TOLLIP","HBSS_pooled_PRM1",0.890637119528765,"HBSS",FALSE,NA
"158","TOLLIP","20231022_AL_HBSSbaf_pooled_PRM1",0.854049723406471,"HBSS + ConA",FALSE,NA
"159","TOLLIP","HBSSbaf_pooled_PRM4",0.969290902250395,"HBSS + ConA",FALSE,NA
"160","TOLLIP","HBSSbaf_pooled_PRM3",0.923775198253326,"HBSS + ConA",FALSE,NA
"161","TOLLIP","HBSSbaf_pooled_PRM2",0.919046882363241,"HBSS + ConA",FALSE,NA
"162","TNIP1","HBSS_pooled_PRM3",0.290299376003095,"HBSS",FALSE,NA
"163","TNIP1","HBSS_pooled_PRM2",0.239396914015767,"HBSS",FALSE,NA
"164","TNIP1","HBSS_pooled_PRM1",0.269815816345827,"HBSS",FALSE,NA
"165","TNIP1","20231022_AL_HBSSbaf_pooled_PRM1",0.307825999766039,"HBSS + ConA",FALSE,NA
"166","TNIP1","HBSSbaf_pooled_PRM4",0.308135816739556,"HBSS + ConA",FALSE,NA
"167","TNIP1","HBSSbaf_pooled_PRM3",0.280390816855291,"HBSS + ConA",FALSE,NA
"168","TNIP1","HBSSbaf_pooled_PRM2",0.278302407267779,"HBSS + ConA",FALSE,NA
"169","TAX1BP1","HBSS_pooled_PRM3",0.0253987282669491,"HBSS",FALSE,NA
"170","TAX1BP1","HBSS_pooled_PRM2",0.0229229653454683,"HBSS",FALSE,NA
"171","TAX1BP1","HBSS_pooled_PRM1",0.0231650998018492,"HBSS",FALSE,NA
"172","TAX1BP1","20231022_AL_HBSSbaf_pooled_PRM1",0.0523551681151944,"HBSS + ConA",FALSE,NA
"173","TAX1BP1","HBSSbaf_pooled_PRM4",0.0477386801628204,"HBSS + ConA",FALSE,NA
"174","TAX1BP1","HBSSbaf_pooled_PRM3",0.0488923585831539,"HBSS + ConA",FALSE,NA
"175","TAX1BP1","HBSSbaf_pooled_PRM2",0.0486293395877141,"HBSS + ConA",FALSE,NA
"176","WBP2","HBSS_pooled_PRM3",4.71888453383024,"HBSS",FALSE,NA
"177","WBP2","HBSS_pooled_PRM2",4.53577087650195,"HBSS",FALSE,NA
"178","WBP2","HBSS_pooled_PRM1",4.28933496618923,"HBSS",FALSE,NA
"179","WBP2","20231022_AL_HBSSbaf_pooled_PRM1",4.79685239411581,"HBSS + ConA",FALSE,NA
"180","WBP2","HBSSbaf_pooled_PRM4",4.43401059045614,"HBSS + ConA",FALSE,NA
"181","WBP2","HBSSbaf_pooled_PRM3",4.48272873830105,"HBSS + ConA",FALSE,NA
"182","WBP2","HBSSbaf_pooled_PRM2",4.88133183952603,"HBSS + ConA",FALSE,NA
"183","WDFY3","HBSS_pooled_PRM3",0.00156964285372162,"HBSS",FALSE,NA
"184","WDFY3","HBSS_pooled_PRM2",0.0016855631203991,"HBSS",FALSE,NA
"185","WDFY3","HBSS_pooled_PRM1",0.0014975946087326,"HBSS",FALSE,NA
"186","WDFY3","20231022_AL_HBSSbaf_pooled_PRM1",0.00169679784066154,"HBSS + ConA",FALSE,NA
"187","WDFY3","HBSSbaf_pooled_PRM4",0.00183821350353505,"HBSS + ConA",FALSE,NA
"188","WDFY3","HBSSbaf_pooled_PRM3",0.00165547808175264,"HBSS + ConA",FALSE,NA
"189","WDFY3","HBSSbaf_pooled_PRM2",0.00190256291229911,"HBSS + ConA",FALSE,NA
"190","ATG13","HBSS_pooled_PRM3",0.146394229451398,"HBSS",FALSE,NA
"191","ATG13","HBSS_pooled_PRM2",0.149438091009638,"HBSS",FALSE,NA
"192","ATG13","HBSS_pooled_PRM1",0.143378235502469,"HBSS",FALSE,NA
"193","ATG13","20231022_AL_HBSSbaf_pooled_PRM1",0.155940686673785,"HBSS + ConA",FALSE,NA
"194","ATG13","HBSSbaf_pooled_PRM4",0.157055179850885,"HBSS + ConA",FALSE,NA
"195","ATG13","HBSSbaf_pooled_PRM3",0.143157454958117,"HBSS + ConA",FALSE,NA
"196","ATG13","HBSSbaf_pooled_PRM2",0.140957863337206,"HBSS + ConA",FALSE,NA
"197","RTN3","HBSS_pooled_PRM3",0.0055216812561235,"HBSS",FALSE,NA
"198","RTN3","HBSS_pooled_PRM2",0.00570320141792458,"HBSS",FALSE,NA
"199","RTN3","HBSS_pooled_PRM1",0.00576995008091167,"HBSS",FALSE,NA
"200","RTN3","20231022_AL_HBSSbaf_pooled_PRM1",0.0059639630084968,"HBSS + ConA",FALSE,NA
"201","RTN3","HBSSbaf_pooled_PRM4",0.00574264920050194,"HBSS + ConA",FALSE,NA
"202","RTN3","HBSSbaf_pooled_PRM3",0.00575095852700359,"HBSS + ConA",FALSE,NA
"203","RTN3","HBSSbaf_pooled_PRM2",0.00618134175930616,"HBSS + ConA",FALSE,NA
"204","FKBP8","HBSS_pooled_PRM3",2.25202457528154,"HBSS",FALSE,NA
"205","FKBP8","HBSS_pooled_PRM2",2.43199866761718,"HBSS",FALSE,NA
"206","FKBP8","HBSS_pooled_PRM1",2.14442705092734,"HBSS",FALSE,NA
"207","FKBP8","20231022_AL_HBSSbaf_pooled_PRM1",2.16750736737567,"HBSS + ConA",FALSE,NA
"208","FKBP8","HBSSbaf_pooled_PRM4",1.98545743949644,"HBSS + ConA",FALSE,NA
"209","FKBP8","HBSSbaf_pooled_PRM3",2.14285658883663,"HBSS + ConA",FALSE,NA
"210","FKBP8","HBSSbaf_pooled_PRM2",2.11364146001721,"HBSS + ConA",FALSE,NA
"211","GABARAPL2","HBSS_pooled_PRM3",0.0385077960468393,"HBSS",FALSE,NA
"212","GABARAPL2","HBSS_pooled_PRM2",0.0412198900732449,"HBSS",FALSE,NA
"213","GABARAPL2","HBSS_pooled_PRM1",0.0404543856713091,"HBSS",FALSE,NA
"214","GABARAPL2","20231022_AL_HBSSbaf_pooled_PRM1",0.126163446986123,"HBSS + ConA",FALSE,NA
"215","GABARAPL2","HBSSbaf_pooled_PRM4",0.129955954738374,"HBSS + ConA",FALSE,NA
"216","GABARAPL2","HBSSbaf_pooled_PRM3",0.123986102997848,"HBSS + ConA",FALSE,NA
"217","GABARAPL2","HBSSbaf_pooled_PRM2",0.13180303251357,"HBSS + ConA",FALSE,NA
"218","AMBRA1","HBSS_pooled_PRM3",0.0612137017042261,"HBSS",TRUE,NA
"219","AMBRA1","HBSS_pooled_PRM2",0.0612137017042261,"HBSS",TRUE,NA
"220","AMBRA1","HBSS_pooled_PRM1",0.0612137017042261,"HBSS",TRUE,NA
"221","AMBRA1","20231022_AL_HBSSbaf_pooled_PRM1",0.0612137017042261,"HBSS + ConA",TRUE,NA
"222","AMBRA1","HBSSbaf_pooled_PRM4",0.0765171271302826,"HBSS + ConA",FALSE,NA
"223","AMBRA1","HBSSbaf_pooled_PRM3",0.0612137017042261,"HBSS + ConA",TRUE,NA
"224","AMBRA1","HBSSbaf_pooled_PRM2",0.0612137017042261,"HBSS + ConA",TRUE,NA
"225","PNPLA2","HBSS_pooled_PRM3",0.198280627366324,"HBSS",FALSE,NA
"226","PNPLA2","HBSS_pooled_PRM2",0.195525698464141,"HBSS",FALSE,NA
"227","PNPLA2","HBSS_pooled_PRM1",0.17912360665628,"HBSS",FALSE,NA
"228","PNPLA2","20231022_AL_HBSSbaf_pooled_PRM1",0.207020585890292,"HBSS + ConA",FALSE,NA
"229","PNPLA2","HBSSbaf_pooled_PRM4",0.16034683770429,"HBSS + ConA",FALSE,NA
"230","PNPLA2","HBSSbaf_pooled_PRM3",0.265982777756658,"HBSS + ConA",FALSE,NA
"231","PNPLA2","HBSSbaf_pooled_PRM2",0.158016234865346,"HBSS + ConA",FALSE,NA
"232","PHB2","HBSS_pooled_PRM3",1.25069312643672,"HBSS",FALSE,NA
"233","PHB2","HBSS_pooled_PRM2",1.3054557047801,"HBSS",FALSE,NA
"234","PHB2","HBSS_pooled_PRM1",1.22106984768082,"HBSS",FALSE,NA
"235","PHB2","20231022_AL_HBSSbaf_pooled_PRM1",1.24072567387589,"HBSS + ConA",FALSE,NA
"236","PHB2","HBSSbaf_pooled_PRM4",1.24092699239903,"HBSS + ConA",FALSE,NA
"237","PHB2","HBSSbaf_pooled_PRM3",1.23445747527684,"HBSS + ConA",FALSE,NA
"238","PHB2","HBSSbaf_pooled_PRM2",1.28981563636137,"HBSS + ConA",FALSE,NA
